,category,text
0,2,ob portal password reset
1,4,mismatch for for allocated data
2,2,sos issue
3,1,myaccount automatically logs out
4,2,tabf cis promo shown in tablet shopper group
5,5,moti network problems encountered hon moy yun
6,2,eip eipprdappaNUM prd grb throttle queue count exceeded thresh
7,0,bizportal access for goldman sachs singtelNUM
8,1,my account usage issue
9,1,password reset
10,1,exception in processing of user files
11,1,issue accessing experts app through app launcher in yes pass
12,2,unable to receive confirmation code to register NUM
13,5,unable to check balance when sms to NUM
14,2,urgent pending cancellation in dpm ceo complaint crjarvis
15,1,my access password reset
16,1,my account customer still receiving bills on old emails NUM
17,1,customer not able to login into my account
18,5,registration not finished for wifi talk app
19,1,my account NUM
20,1,no services information in my account
21,1,my account error
22,2,ebpp tm tasks request for invoice loader stats
23,6,customer does not receive email billing
24,1,my access password reset
25,0,feedback form tNUM
26,2,re billing period issue
27,2,unable to book fetch tv box
28,2,my app registration issue
29,2,cust unable to view mms at myportalsingtelcomsNUM
30,1,zoo password reset
31,1,my account cust cant view cable billing
32,5,data usage reports
33,2,dpm ottrecoverableerr pottNUM erro
34,1,zoo password reset request
35,1,my account unable to login
36,1,my access password reset
37,2,mopm drop order check tan si jing NUM
38,2,change of email billing address
39,6,metv cancellation mail
40,2,dpm stb pending
41,2,ebpp tm tasks request for invoice loader stats
42,1,my access password reset
43,1,unable to register the customer account for email billing in my account
44,2,errors using the chat screen
45,1,my access password reset
46,1,my account linking error
47,2,request fo r a paper billing
48,1,my account account number is invalid format
49,2,app issue
50,2,re mobf existing microsim customer not provided with change sim when ci to na
51,2,stb pending delivery error inquiry
52,1,my access request to reset the password
53,1,my access password reset
54,1,customer unable to login into member service
55,1,my account account linking
56,2,unable to see bill statement for this month in mysingtel app NUM urgent p
57,1,need to change the allocation of the principal service in my account NUM
58,1,sos password reset
59,2,dpm request to change the address
60,1,user from email resoultion team requested rechecking of NUM
61,1,sos password reset
62,1,zoo csi password reset
63,2,cisti unable to sign up online rachel lena foo
64,1,user unable to search customer detail
65,2,unable to access yes central and personal hub
66,1,zoo password reset
67,1,my access password reset
68,3,customer unable to send email outside melbourne area
69,1,sos request new access reset the password
70,2,ebpp unable to register customer for electronic bills ebill
71,2,pending cancellation in dpm georgemarlin
72,1,member services login issue
73,2,unable to register for my app
74,2,unable to see the details in my app
75,1,my account data usage
76,1,my access password reset
77,1,customer unable to login to member services
78,1,customer unable to login to my account
79,1,my access request reset password
80,2,stb order which is stuckinpending since NUM
81,1,sos password reset
82,1,customer unable to login to member services
83,2,request to push order in dpm
84,6,customer is unable to receive email bill
85,1,my access password reset
86,6,unable chage to email billing
87,2,issue
88,1,re account NUM
89,4,arbor fetch box has been cancel but customer still being charged
90,2,my app does not update for 3 days now
91,2,pending transaction for miss natalie brown
92,1,customer unable to view bill thru my account
93,1,unable to linking account
94,1,keeps getting logout from my account
95,1,my account NUM not able to add the data pack from my account
96,2,cannot change password for webmail
97,1,customer is not receiving her email bills and view bills via my accounts
98,1,my access password reset
99,2,ob portal password
100,2,stuck order in dpm tim moran dn NUM user timmoran1 NUM
101,1,reset password for id jillrp in server eshopdev1 NUM
